Timestamp,GSR Value (uS)
2025-05-23 11:14:11.448,-0.29
2025-05-23 11:14:11.629,-0.24
2025-05-23 11:14:11.809,-0.19
2025-05-23 11:14:11.929,-0.24
2025-05-23 11:14:12.108,-0.24
2025-05-23 11:14:12.229,-0.24
2025-05-23 11:14:12.409,-0.24
2025-05-23 11:14:12.529,-0.24
2025-05-23 11:14:12.710,-0.24
2025-05-23 11:14:12.830,-0.24
2025-05-23 11:14:13.008,-0.24
2025-05-23 11:14:13.128,-0.24
2025-05-23 11:14:13.310,-0.24
2025-05-23 11:14:13.489,-0.24
2025-05-23 11:14:13.608,-0.24
2025-05-23 11:14:13.788,-0.29
2025-05-23 11:14:13.908,-0.24
2025-05-23 11:14:14.088,-0.24
2025-05-23 11:14:14.208,-0.24
2025-05-23 11:14:14.449,-0.24
2025-05-23 11:14:14.509,-0.24
2025-05-23 11:14:14.688,-0.24
2025-05-23 11:14:14.810,-0.24
2025-05-23 11:14:14.990,-0.24
2025-05-23 11:14:15.168,-0.24
2025-05-23 11:14:15.289,-0.24
2025-05-23 11:14:15.469,-0.24
2025-05-23 11:14:15.589,-0.29
2025-05-23 11:14:15.769,-0.24
2025-05-23 11:14:15.890,-0.24
2025-05-23 11:14:16.068,-0.24
2025-05-23 11:14:16.188,-0.24
2025-05-23 11:14:16.369,-0.24
2025-05-23 11:14:16.549,-0.24
2025-05-23 11:14:16.668,-0.24
2025-05-23 11:14:16.850,-0.24
2025-05-23 11:14:16.970,-0.24
2025-05-23 11:14:17.150,-0.24
2025-05-23 11:14:17.268,-0.24
2025-05-23 11:14:17.449,-0.24
2025-05-23 11:14:17.570,-0.24
2025-05-23 11:14:17.748,-0.24
2025-05-23 11:14:17.869,-0.24
2025-05-23 11:14:18.049,-0.24
2025-05-23 11:14:18.169,-0.24
2025-05-23 11:14:18.349,-0.29
2025-05-23 11:14:18.528,-0.24
2025-05-23 11:14:18.650,-0.24
2025-05-23 11:14:18.828,-0.24
2025-05-23 11:14:18.950,-0.24
2025-05-23 11:14:19.129,-0.24
2025-05-23 11:14:19.248,-0.24
2025-05-23 11:14:19.429,-0.24
2025-05-23 11:14:19.549,-0.24
2025-05-23 11:14:19.728,-0.24
2025-05-23 11:14:19.909,-0.24
2025-05-23 11:14:20.028,-0.29
2025-05-23 11:14:20.209,-0.24
2025-05-23 11:14:20.328,-0.24
2025-05-23 11:14:20.509,-0.24
2025-05-23 11:14:20.629,-0.24
2025-05-23 11:14:20.808,-0.24
2025-05-23 11:14:20.928,-0.24
2025-05-23 11:14:21.108,-0.24
2025-05-23 11:14:21.228,-0.24
2025-05-23 11:14:21.410,-0.24
2025-05-23 11:14:21.589,-0.24
2025-05-23 11:14:21.709,-0.19
2025-05-23 11:14:21.888,-0.24
2025-05-23 11:14:22.010,-0.24
2025-05-23 11:14:22.190,-0.24
2025-05-23 11:14:22.308,-0.24
2025-05-23 11:14:22.489,-0.24
2025-05-23 11:14:22.610,-0.24
2025-05-23 11:14:22.788,-0.24
2025-05-23 11:14:22.909,-0.24
